maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,30923.94,47559.96666666667,59861.30434782609,76853.21052631579,97117.9,23942.304347826088,50162.63333333333,57648.153846153844,93504.4375,176475.0,16698.49504950495,28370.44230769231,39660.230769230766,52205.5625,88414.41666666667
0.1_0.2,24479.322580645163,31813.31111111111,40997.63636363636,56732.846153846156,124372.125,21096.226666666666,28646.396226415094,37499.325,59520.28,131899.25,13960.060344827587,17449.67816091954,22314.885714285716,34667.375,69914.6
0.1_0.3,19915.846153846152,25281.736842105263,27077.039215686276,44528.84848484849,124581.5,14859.590476190477,20855.164383561645,25030.245901639344,45500.666666666664,128679.25,9155.137362637362,12916.17094017094,16723.397849462366,21969.157894736843,67554.0
0.1_0.4,13322.136752136752,17205.191011235955,20978.515151515152,34629.441860465115,125102.875,10128.636363636364,13097.810344827587,17255.079545454544,33753.044444444444,132941.25,7391.776315789473,9621.770700636942,10454.594594594595,15300.357798165138,63091.58823529412
0.1_0.5,9399.951219512195,10864.923076923076,14052.929292929293,25602.603448275862,98108.7,7532.826923076923,9348.638036809816,12559.92561983471,27833.09259259259,132842.125,4922.395770392749,6153.90234375,7202.405529953917,10907.908496732027,72142.53333333334
0.1_0.6,6603.484978540772,7278.130841121495,10009.427536231884,24664.114754098362,100146.2,5044.696078431372,6258.491803278688,7919.418848167539,21973.130434782608,152314.0,3193.6782273603085,4131.439393939394,5005.530158730158,9783.241176470588,61031.444444444445
0.1_0.7,3886.493670886076,4696.759420289855,8540.625766871166,20763.319444444445,139128.85714285713,3076.6941176470586,3715.1630170316303,4928.938311688312,18804.1,129674.75,2237.6190476190477,2384.56231884058,3045.876953125,7434.2139737991265,49924.318181818184
0.1_0.8,1761.1068524970965,2192.635026737968,8025.011695906433,20197.527777777777,120262.875,1209.8534351145038,1635.968287526427,4634.542944785276,17195.02298850575,131916.375,1789.6783216783217,1201.7572427572427,1793.556179775281,6854.150406504065,49942.90909090909
0.1_0.9,3528.328125,2342.715925394548,9871.06474820144,19842.337837837837,95188.4,1080.3036963036964,1557.7342657342658,5898.22265625,19447.855263157893,114631.11111111111,5337.848,1298.1048951048951,2214.4915014164308,7175.430962343096,35641.51612903226
0.2_0.1,40012.35,48169.76470588235,57584.208333333336,59745.04,120385.375,28437.96551724138,44849.45945945946,52768.24137931035,65963.60869565218,145857.85714285713,17588.19801980198,25134.924242424244,33264.19565217391,35688.25,60928.055555555555
0.2_0.2,29848.326923076922,36294.044444444444,39201.74285714285,44308.121212121216,120189.125,22586.35616438356,33139.1,36660.95238095238,39835.5,143817.7142857143,14175.306451612903,19425.164705882355,20567.61038961039,26976.015873015873,72597.46666666666
0.2_0.3,22381.842857142856,29114.196428571428,31421.75,30135.816326530614,107512.66666666667,15223.268518518518,23739.583333333332,22728.373134328358,27657.454545454544,146188.85714285713,11711.379310344828,13041.1953125,15247.413461538461,19316.157303370786,64607.17647058824
0.2_0.4,18555.369047619046,19632.36144578313,20960.545454545456,27121.98181818182,137749.14285714287,16000.87,17495.59595959596,19843.7012987013,22020.014285714286,146045.14285714287,9905.077380952382,11337.122448979591,12205.438461538462,15155.990990990991,35460.1935483871
0.2_0.5,13261.93220338983,15244.364485981308,16930.024096385543,17785.819277108432,73946.30769230769,9686.809523809523,12733.220588235294,13565.663716814159,15461.84,127611.125,6497.360902255639,8077.887804878049,9318.644970414201,9487.388888888889,29762.777777777777
0.2_0.6,8030.761904761905,10203.276729559748,10355.637037037037,12624.74358974359,96497.5,6658.933333333333,8399.538834951456,8883.229885057472,11079.064285714287,68445.73333333334,4316.261421319797,4778.514450867052,5365.9034482758625,6459.639097744361,8929.09677419355
0.2_0.7,5233.6894197952215,6014.314814814815,6473.612903225807,8240.983516483517,64027.0,4046.060759493671,4942.1776504297995,5206.5,6431.7415254237285,56934.055555555555,1835.8647450110864,2465.645305514158,3044.677669902913,4033.7314148681057,3937.021126760563
0.2_0.8,2449.946688206785,3073.61247637051,3074.771551724138,4700.631578947368,64156.769230769234,3180.315789473684,1657.6483516483515,2293.005988023952,3386.40133037694,35225.275862068964,1287.5,1225.0281690140846,1063.993006993007,1669.5174825174824,2418.685567010309
0.2_0.9,889.6413612565445,1094.6853146853148,1572.95,4563.560606060606,49350.882352941175,933.1740614334472,1598.7745901639344,2005.5322283609576,3236.388655462185,36672.6,814.9822695035461,788.3026973026973,1271.3049095607234,1653.2477522477523,2601.0114285714285
0.3_0.1,44252.6,48744.41176470588,60195.913043478264,62182.0,139082.66666666666,32587.039215686276,41737.54761904762,45024.205882352944,55985.666666666664,219127.75,17434.88888888889,23738.732394366198,33203.583333333336,34543.44,61573.0
0.3_0.2,28490.0,28108.491525423728,42625.333333333336,45310.42424242424,139787.83333333334,21647.532467532466,29377.433333333334,38491.75,38825.179487179485,146419.83333333334,14381.508196721312,17353.747474747473,20558.115384615383,26740.21875,57020.63157894737
0.3_0.3,21188.438356164384,33129.66,30856.155555555557,33437.84090909091,118916.0,19219.627906976744,26594.636363636364,26129.362068965518,29848.274509803923,125560.0,12186.148936170213,15274.050847457627,19258.48780487805,24095.38028169014,40757.846153846156
0.3_0.4,17731.802325581397,20901.25316455696,20414.028985507248,25745.58620689655,75897.09090909091,14450.6875,17487.02,19437.03846153846,22287.318840579712,97821.44444444444,8989.422680412372,11141.695652173914,13028.883333333333,14956.754385964912,24626.25581395349
0.3_0.5,14247.471698113208,16971.876288659794,16666.0,20680.35616438356,59998.57142857143,11567.446808510638,14089.540322580646,14958.921568627451,16952.08988764045,49013.555555555555,7486.043103448276,8428.133640552995,9736.680981595093,11975.465277777777,14450.04054054054
0.3_0.6,9996.993333333334,11023.838926174496,12232.166666666666,14188.371428571429,52310.4375,7818.940886699507,9729.206703910615,10073.344370860927,12155.09677419355,29553.666666666668,4724.030054644809,5582.478787878787,6433.9668049792535,6804.449799196787,8370.6171875
0.3_0.7,6039.299180327869,7586.140186915888,7400.064864864865,8833.814371257486,26325.09375,4813.630094043887,5586.876623376624,6078.822580645161,7408.5837320574165,13905.46875,1963.2808219178082,2524.0,3087.803149606299,3943.034965034965,4142.942307692308
0.3_0.8,2775.152380952381,3452.214893617021,3672.1105263157897,4421.4792899408285,18356.217391304348,984.8231768231768,1439.8701298701299,2017.5166002656042,3334.4242424242425,6046.243243243243,497.09703504043125,859.5106382978723,855.5888429752066,1340.5824175824175,2115.215277777778
0.3_0.9,776.6611295681063,1135.7889610389611,1197.7522477522477,2377.544461778471,12274.27536231884,761.1944444444445,753.3966033966034,1040.3916083916083,1818.396028037383,4582.225641025641,829.3215258855586,829.1451612903226,871.7932067932068,1333.929070929071,2190.2748091603053
0.4_0.1,44327.9,47798.857142857145,52741.03703703704,51717.68965517241,104666.0,30216.471698113208,38486.391304347824,36881.28571428572,63133.541666666664,146556.83333333334,21967.182926829268,20707.76923076923,27639.810344827587,35341.625,55853.31578947369
0.4_0.2,29280.844444444443,38114.11363636364,35994.10256410256,45527.666666666664,117103.71428571429,25023.234375,26536.880597014926,31113.36,41445.89189189189,125385.71428571429,15990.181818181818,20208.924731182797,23703.590909090908,27331.129032258064,48467.0
0.4_0.3,22834.603448275862,34587.416666666664,32647.227272727272,36098.42857142857,64273.0,18757.54117647059,23812.85135135135,25020.131147540982,25027.081967213115,73353.91666666667,13044.153284671533,17351.472222222223,18319.068965517243,19607.840909090908,32501.516129032258
0.4_0.4,19877.772727272728,25125.015151515152,27913.470588235294,26632.763636363637,49365.882352941175,17081.74193548387,18523.56842105263,20627.64864864865,22826.537313432837,41229.666666666664,10485.452380952382,11453.085365853658,15265.849056603774,15857.787037037036,21950.404761904763
0.4_0.5,12615.115384615385,19965.602409638555,19451.972222222223,22091.514705882353,28074.533333333333,11292.73381294964,15094.913793103447,15209.48,18567.22891566265,24723.805555555555,7381.836909871245,9460.081218274112,10554.62,11889.583333333334,13795.298507462687
0.4_0.6,10074.93023255814,13397.918699186992,14161.08,16433.195652173912,17951.382978723403,8115.559585492228,10721.104938271605,11030.72463768116,14644.361904761905,16387.12962962963,5046.680473372781,5723.4643962848295,6780.366379310345,8127.957345971564,8195.70796460177
0.4_0.7,6477.737373737374,8555.769633507853,8806.662420382165,10758.9,10513.938271604939,5458.25,6263.4693140794225,7241.56937799043,8623.274285714286,8742.813725490196,1918.152466367713,2570.507692307692,3196.1068548387098,3848.731981981982,4475.169082125604
0.4_0.8,2822.17225950783,3749.7741935483873,4209.434650455927,4825.635782747604,5180.957575757576,898.4835164835165,1279.5544455544455,1712.6465324384787,3001.7762645914395,3668.0491803278687,365.63057324840764,519.8023255813954,740.5004995004995,1176.098901098901,1717.3196721311476
0.4_0.9,3181.5737704918033,1014.8804347826087,1156.330808080808,1767.8077360637087,3277.1541501976285,754.0921409214092,687.978622327791,1893.8101694915254,1497.7322677322677,2533.9438596491227,822.1111111111111,520.6776180698151,1422.716049382716,1180.2067932067932,2030.0334928229665
0.5_0.1,36913.75,39334.813953488374,53822.61538461538,51796.03448275862,139302.66666666666,26895.384615384617,35529.4,37224.04761904762,51339.6,146859.66666666666,16256.61607142857,25292.773333333334,27502.155172413793,33495.307692307695,61581.333333333336
0.5_0.2,27849.3125,38410.318181818184,50220.607142857145,44544.41176470588,95230.0,24946.454545454544,37828.574468085106,35581.22727272727,37044.45238095238,125867.57142857143,13986.452380952382,19506.546391752578,20908.87012987013,25758.136363636364,45907.0
0.5_0.3,23946.563636363637,32966.490196078434,39030.97222222222,38026.8,63321.357142857145,24114.035087719298,25644.739130434784,27967.35714285714,30691.88,59005.73333333333,11992.8,16163.603448275862,18557.372093023256,22747.86842105263,30778.833333333332
0.5_0.4,19599.701492537315,27313.22950819672,24272.35593220339,32028.14893617021,44633.5,14453.852631578948,20741.776470588236,21822.042857142857,29029.735849056604,39585.086956521736,9694.533333333333,11607.092592592593,16160.39603960396,18852.32222222222,23672.30769230769
0.5_0.5,15108.413793103447,18854.91011235955,21545.015151515152,29129.846153846152,28945.870967741936,11227.97520661157,15670.9375,17854.058823529413,19548.0875,27156.885714285716,7981.57619047619,9597.2,11010.951048951049,11998.971830985916,14457.125
0.5_0.6,10002.142857142857,13947.24369747899,13984.717171717171,17679.45238095238,19011.510638297874,7834.976878612717,10920.8625,12873.52100840336,14037.227272727272,16334.155172413793,4800.6384839650145,5882.509554140127,6692.4358974358975,7413.912663755458,9190.990099009901
0.5_0.7,6471.858585858586,9239.168539325843,9335.2,11261.103703703704,11461.23076923077,4710.007067137809,6702.258687258687,7543.254807692308,8829.732954545454,9570.373737373737,1823.3030973451328,2476.236806495264,2890.297951582868,3489.6646090534978,4716.8578680203045
0.5_0.8,2878.0875576036865,3958.4278728606355,4619.43,5550.168498168498,5459.163636363636,744.8771228771229,1092.4135864135865,1492.8711288711288,2433.8501577287066,3766.5415019762845,414.8884758364312,625.7461368653421,646.8401598401598,1102.7442557442557,2073.4654088050315
0.5_0.9,1508.948905109489,720.580565805658,927.3986013986014,1529.6443556443558,2533.387323943662,766.1381578947369,874.5944798301487,827.6343656343656,1385.6983016983017,2564.1495327102803,925.4782608695652,485.16383616383615,660.4305694305694,1081.941058941059,1864.5950920245398
0.6_0.1,34344.717948717946,69489.58333333333,41374.882352941175,59848.92,148441.16666666666,27429.21568627451,37374.75,45692.08823529412,51871.933333333334,134870.7142857143,16121.574074074075,20639.902173913044,27400.542372881355,31891.811320754718,63985.5
0.6_0.2,31860.02380952381,38356.09090909091,38155.39473684211,48043.32258064516,80396.90909090909,24045.120689655174,28903.40322580645,42243.24324324324,53531.724137931036,85244.81818181818,16782.495145631066,18863.92,22100.541666666668,24069.305555555555,39887.086956521736
