maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME
0.1_0.2,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME
0.1_0.3,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME
0.1_0.4,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME
0.1_0.5,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME
0.1_0.6,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME
0.1_0.7,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,COMPLETED,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME
0.1_0.8,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,COMPLETED,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,COMPLETED,MAX_EPOCHE,MAX_TIME,MAX_TIME,MAX_TIME
0.1_0.9,COMPLETED,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_EPOCHE,MAX_EPOCHE,MAX_TIME,MAX_TIME,MAX_TIME,COMPLETED,MAX_EPOCHE,MAX_TIME,MAX_TIME,MAX_TIME
0.2_0.1,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME,MAX_TIME
