maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,23.0,37.0,41.0,77.0,35.0,33.0,39.0,53.0,155.0,61.0,19.0,19.0,27.0,49.0,15.0
0.1_0.2,25.0,43.0,51.0,57.0,23.0,27.0,31.0,51.0,113.0,25.0,17.0,19.0,29.0,89.0,15.0
0.1_0.3,53.0,31.0,43.0,97.0,23.0,31.0,37.0,43.0,91.0,27.0,17.0,35.0,23.0,69.0,15.0
0.1_0.4,23.0,29.0,39.0,83.0,23.0,41.0,33.0,51.0,83.0,25.0,31.0,21.0,25.0,19.0,15.0
0.1_0.5,23.0,27.0,49.0,75.0,23.0,31.0,27.0,51.0,63.0,25.0,19.0,15.0,23.0,41.0,15.0
0.1_0.6,65.0,31.0,29.0,53.0,23.0,43.0,33.0,53.0,75.0,25.0,21.0,15.0,25.0,33.0,15.0
0.1_0.7,25.0,27.0,45.0,51.0,25.0,29.0,29.0,39.0,77.0,25.0,17.0,19.0,23.0,37.0,17.0
0.1_0.8,27.0,33.0,45.0,95.0,23.0,25.0,35.0,33.0,71.0,25.0,21.0,21.0,29.0,55.0,15.0
0.1_0.9,39.0,29.0,47.0,73.0,23.0,29.0,35.0,57.0,33.0,25.0,15.0,17.0,27.0,51.0,15.0
0.2_0.1,27.0,33.0,31.0,71.0,33.0,57.0,35.0,65.0,75.0,29.0,19.0,15.0,37.0,35.0,15.0
0.2_0.2,23.0,27.0,35.0,87.0,23.0,27.0,31.0,45.0,103.0,25.0,15.0,19.0,29.0,57.0,15.0
0.2_0.3,27.0,33.0,37.0,79.0,23.0,35.0,33.0,41.0,139.0,25.0,15.0,19.0,23.0,159.0,15.0
0.2_0.4,27.0,29.0,53.0,67.0,23.0,31.0,37.0,49.0,99.0,25.0,15.0,15.0,37.0,57.0,15.0
0.2_0.5,23.0,35.0,43.0,47.0,23.0,25.0,31.0,41.0,81.0,25.0,15.0,19.0,23.0,65.0,15.0
0.2_0.6,25.0,25.0,55.0,65.0,23.0,29.0,35.0,41.0,51.0,25.0,21.0,27.0,23.0,55.0,15.0
0.2_0.7,25.0,33.0,43.0,33.0,23.0,25.0,35.0,47.0,73.0,25.0,15.0,19.0,21.0,43.0,15.0
0.2_0.8,23.0,27.0,35.0,61.0,23.0,25.0,35.0,45.0,85.0,25.0,19.0,25.0,29.0,39.0,15.0
0.2_0.9,23.0,29.0,49.0,65.0,23.0,33.0,33.0,47.0,75.0,25.0,15.0,17.0,31.0,39.0,15.0
0.3_0.1,27.0,35.0,59.0,69.0,33.0,33.0,35.0,59.0,81.0,57.0,15.0,15.0,23.0,31.0,15.0
0.3_0.2,37.0,31.0,45.0,67.0,23.0,49.0,37.0,55.0,89.0,25.0,23.0,17.0,27.0,55.0,15.0
0.3_0.3,23.0,27.0,43.0,57.0,23.0,25.0,33.0,41.0,63.0,25.0,15.0,17.0,29.0,41.0,15.0
0.3_0.4,23.0,27.0,49.0,53.0,23.0,57.0,41.0,41.0,69.0,25.0,19.0,19.0,21.0,39.0,15.0
0.3_0.5,29.0,31.0,37.0,57.0,23.0,25.0,27.0,59.0,81.0,25.0,15.0,17.0,21.0,51.0,15.0
0.3_0.6,49.0,31.0,33.0,81.0,23.0,25.0,29.0,41.0,69.0,25.0,19.0,17.0,25.0,39.0,17.0
0.3_0.7,23.0,35.0,45.0,47.0,23.0,25.0,29.0,57.0,71.0,25.0,15.0,19.0,19.0,51.0,15.0
0.3_0.8,23.0,35.0,49.0,61.0,23.0,37.0,29.0,53.0,71.0,25.0,15.0,21.0,29.0,37.0,15.0
0.3_0.9,23.0,25.0,43.0,65.0,23.0,27.0,35.0,39.0,83.0,27.0,33.0,19.0,25.0,27.0,15.0
0.4_0.1,29.0,25.0,43.0,65.0,35.0,25.0,39.0,61.0,119.0,99.0,15.0,15.0,19.0,89.0,15.0
0.4_0.2,23.0,27.0,37.0,99.0,23.0,25.0,35.0,55.0,77.0,25.0,15.0,17.0,23.0,95.0,15.0
