maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,224,144,154,162,54,312,174,199,181,43,538,285,327,292,95
0.1_0.2,252,188,197,207,78,379,236,272,235,64,667,414,448,411,163
0.1_0.3,353,240,265,242,102,489,300,358,306,109,968,591,659,622,234
0.1_0.4,511,333,368,369,153,701,450,465,407,171,1001,932,1001,969,410
0.1_0.5,687,511,546,498,240,1001,722,751,631,310,1001,1001,1001,1001,1001
0.1_0.6,1001,928,949,818,411,188,1001,1001,1001,702,484,1001,1001,1001,342
0.1_0.7,1001,389,1001,1001,519,470,336,1001,1001,408,349,478,421,1001,369
0.1_0.8,742,1001,1001,1001,483,630,533,865,1001,411,399,524,468,1001,320
0.1_0.9,649,1001,1001,1001,426,571,637,1001,1001,407,489,1001,786,1001,266
0.2_0.1,202,125,153,148,50,305,207,180,187,39,516,316,335,290,93
0.2_0.2,255,181,182,190,64,355,230,250,209,70,672,417,429,405,143
0.2_0.3,293,208,245,229,82,457,302,347,297,89,958,644,700,665,242
0.2_0.4,396,302,296,290,122,586,429,437,376,139,1001,971,999,998,404
0.2_0.5,591,403,453,435,182,1001,685,702,564,241,1001,1001,1001,1001,1001
0.2_0.6,1001,854,944,808,333,1001,1001,1001,1001,788,125,395,492,1001,469
0.2_0.7,815,1001,1001,1001,1001,144,590,956,235,211,276,1001,913,1001,208
0.2_0.8,82,218,496,1001,265,353,197,683,1001,219,181,599,1001,1001,165
0.2_0.9,335,1001,1001,1001,273,186,101,1001,1001,222,257,234,1001,1001,160
0.3_0.1,203,127,137,147,45,296,186,197,176,42,484,330,322,293,85
0.3_0.2,233,176,170,203,54,377,243,251,230,60,703,430,411,448,140
0.3_0.3,289,199,216,216,70,408,315,340,331,87,891,570,669,637,240
0.3_0.4,447,281,316,296,98,610,427,450,388,122,1001,993,1001,1001,431
0.3_0.5,621,406,462,436,160,1001,678,727,591,230,1001,1001,1001,1001,1001
0.3_0.6,1001,861,933,862,324,88,1001,1001,1001,925,143,479,1001,1001,819
0.3_0.7,253,1001,1001,1001,804,57,143,1001,1001,169,175,418,1001,671,130
0.3_0.8,292,944,1001,1001,198,237,1001,990,1001,186,112,675,1001,1001,128
0.3_0.9,208,444,1001,144,207,245,446,1001,1001,153,149,485,231,1001,130
0.4_0.1,204,141,148,148,40,303,193,220,193,41,485,337,327,333,83
0.4_0.2,242,182,187,183,49,365,216,257,228,61,659,432,436,428,132
0.4_0.3,315,231,208,244,63,416,306,342,302,84,914,652,669,642,226
0.4_0.4,385,306,284,288,86,601,428,418,382,122,1001,939,1001,1001,408
0.4_0.5,634,429,473,442,131,1001,804,763,629,234,1001,1001,1001,1001,1001
0.4_0.6,1001,930,940,796,291,1001,1001,1001,1001,929,20,347,1001,1001,229
0.4_0.7,716,926,1001,1001,635,45,558,1001,1001,136,154,1001,1001,1001,101
0.4_0.8,201,999,1001,1001,170,97,775,1001,1001,145,128,380,1001,1001,107
0.4_0.9,168,372,1001,1001,159,184,223,1001,1001,133,153,67,1001,1001,98
0.5_0.1,227,160,149,137,35,289,206,212,193,37,506,299,343,291,82
0.5_0.2,258,185,199,176,42,369,235,256,259,57,608,441,453,426,132
0.5_0.3,313,237,230,213,55,469,328,335,294,78,926,625,693,694,229
0.5_0.4,14,275,290,297,75,647,448,437,375,106,1001,1001,1001,1001,422
0.5_0.5,575,437,444,425,123,1001,740,743,637,208,1001,1001,1001,1001,1001
0.5_0.6,1001,1001,1001,871,279,1001,1001,1001,1001,1001,59,134,542,635,195
0.5_0.7,239,1001,503,1001,361,112,1001,1001,1001,112,127,217,1001,1001,90
0.5_0.8,192,1001,242,1001,134,146,666,697,1001,110,126,491,1001,1001,77
0.5_0.9,170,568,1001,985,112,135,739,1001,605,106,119,289,1001,1001,79
0.6_0.1,191,139,145,145,33,292,219,217,188,38,522,331,317,302,75
0.6_0.2,240,171,180,189,41,349,257,255,245,53,653,456,468,425,120
0.6_0.3,290,218,230,211,54,443,303,365,306,76,986,637,708,674,209
0.6_0.4,406,290,306,269,66,624,419,434,369,110,26,1001,1001,1001,391
0.6_0.5,572,425,443,426,107,1001,713,760,632,213,1001,1001,1001,1001,1001
0.6_0.6,1001,1001,1001,876,271,1001,1001,1001,1001,1001,20,88,1001,1001,160
0.6_0.7,199,1001,829,1001,383,139,673,1001,1001,96,31,864,235,1001,90
0.6_0.8,150,295,1001,1001,112,136,252,1001,1001,86,104,318,77,1001,82
0.6_0.9,159,78,1001,587,73,133,212,640,1001,115,106,192,721,1001,71
0.7_0.1,224,160,145,155,32,265,223,222,190,35,542,351,332,304,76
0.7_0.2,221,174,171,180,41,332,242,293,266,54,667,440,449,412,108
0.7_0.3,300,246,231,210,51,451,329,319,285,75,1001,688,633,670,209
