maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,300.00070095062256,300.0007119178772,300.0002760887146,300.0009036064148,300.0003864765167,300.00075483322144,300.0001585483551,300.00027894973755,300.00079464912415,300.00049781799316,300.00076174736023,300.00094985961914,300.0002529621124,300.00094270706177,300.00057649612427
0.1_0.2,300.0004997253418,300.0000002384186,300.000794172287,300.00082302093506,300.00049352645874,300.00049924850464,300.00099778175354,300.0004689693451,300.000461101532,300.0004904270172,300.00050044059753,300.0004267692566,300.00095105171204,300.00051975250244,300.0004913806915
0.1_0.3,300.00049018859863,300.0002088546753,300.00077986717224,300.0004892349243,300.00099778175354,300.0004892349243,300.00071477890015,300.0007789134979,300.0006489753723,300.0001997947693,300.0004894733429,300.00039196014404,300.00052404403687,300.0007383823395,300.0009982585907
0.1_0.4,300.00019693374634,300.0001165866852,300.0004608631134,300.00057315826416,300.0008177757263,300.0002019405365,300.00052285194397,300.0004599094391,300.00099658966064,300.00053238868713,185.67499899864197,300.000284910202,296.08272218704224,300.00038266181946,300.0001277923584
0.1_0.5,300.0005347728729,300.0008249282837,300.0006477832794,300.0000686645508,300.000447511673,263.639532327652,300.00042843818665,300.00064873695374,300.0008478164673,300.0006446838379,89.96219992637634,159.44051551818848,158.0378119945526,184.99805998802185,287.7486057281494
0.1_0.6,212.44233417510986,300.0004198551178,300.00001096725464,300.0007905960083,300.00034070014954,21.33400297164917,188.604327917099,179.71899724006653,240.84655594825745,300.0002269744873,25.69100046157837,73.22294878959656,80.7965247631073,112.09899497032166,131.87564182281494
0.1_0.7,51.996371030807495,75.39787101745605,120.15408849716187,168.76154088974,210.183429479599,27.03499937057495,60.15857434272766,89.4980001449585,137.33007979393005,172.46492338180542,15.805000305175781,52.386441469192505,56.32105112075806,106.9160008430481,117.77263569831848
0.1_0.8,41.597002029418945,98.26603770256042,105.86483669281006,152.1470799446106,199.5273973941803,36.692999839782715,69.15035843849182,85.26507139205933,135.99811816215515,149.6659016609192,19.743999004364014,54.16089963912964,56.95403027534485,103.79007244110107,105.36059069633484
0.1_0.9,50.47757267951965,101.09862732887268,107.41092467308044,145.68513441085815,172.12687420845032,42.562997817993164,76.15655088424683,88.8950297832489,130.64310479164124,142.31287574768066,32.48392605781555,66.81026434898376,68.43101477622986,100.09202861785889,94.52200078964233
0.2_0.1,300.00068378448486,300.0000853538513,300.00057077407837,300.0001928806305,300.0000970363617,300.0008747577667,300.0002701282501,300.0005748271942,300.0000886917114,300.00009870529175,300.0006058216095,300.0005097389221,300.0009961128235,300.0005602836609,300.0007104873657
0.2_0.2,300.0002303123474,300.00051617622375,300.0002717971802,300.00098180770874,300.00067949295044,300.0004870891571,300.0002861022949,300.0008792877197,300.00096130371094,300.0000014305115,300.00034737586975,300.00055408477783,300.0009388923645,300.0008912086487,300.0000445842743
0.2_0.3,300.0004768371582,300.00095224380493,300.00016140937805,300.00006794929504,300.0009231567383,300.00021290779114,300.0001769065857,300.0002386569977,300.00017738342285,300.00059843063354,300.0009379386902,300.0000641345978,300.00048065185547,300.00023889541626,300.0000422000885
0.2_0.4,300.0010004043579,300.00065875053406,300.0008885860443,300.00080704689026,300.00004601478577,300.0000967979431,300.0008809566498,300.00010442733765,300.0004448890686,300.0000433921814,198.89041209220886,300.0002603530884,300.00025606155396,300.0001027584076,300.0006799697876
0.2_0.5,300.0004894733429,300.0001947879791,300.000164270401,300.00070452690125,300.0018136501312,280.664998292923,300.0000801086426,300.0008850097656,300.0000514984131,300.0007224082947,81.30598831176758,144.987961769104,142.0461049079895,161.78485774993896,278.77792382240295
0.2_0.6,229.49310946464539,300.0001628398895,300.0007812976837,300.0007801055908,300.00070452690125,91.39367938041687,167.69707369804382,161.63513612747192,223.48543906211853,300.0007984638214,7.8191211223602295,32.89200043678284,40.43301272392273,81.59003043174744,75.53599882125854
0.2_0.7,33.04199814796448,82.22255778312683,89.379723072052,128.5917661190033,140.57603096961975,12.915998697280884,45.794111251831055,63.4640576839447,52.756014823913574,80.74799990653992,11.804711103439331,47.84979200363159,52.68102979660034,81.37304282188416,60.83004379272461
0.2_0.8,13.409257650375366,37.45219945907593,54.48699951171875,115.7530562877655,95.47724223136902,18.28400230407715,30.580355644226074,51.02667236328125,100.58907723426819,72.1920313835144,12.53005576133728,36.88983702659607,53.42702889442444,75.20107555389404,55.298999547958374
0.2_0.9,25.305781841278076,69.89047479629517,78.18096232414246,113.44604539871216,88.71696901321411,19.6059992313385,29.507748126983643,63.544013023376465,99.89302611351013,69.8509750366211,16.551997900009155,28.191578149795532,51.379929065704346,74.13801431655884,48.98157501220703
0.3_0.1,300.0007200241089,300.0009150505066,300.0007815361023,300.0007722377777,300.00087666511536,300.0009214878082,300.00048995018005,300.0007047653198,300.0007743835449,300.00082063674927,300.0000994205475,300.0000035762787,300.00097489356995,300.00076627731323,300.0003523826599
0.3_0.2,300.00079679489136,300.00063157081604,300.0008385181427,300.0008909702301,300.0004913806915,300.00063276290894,300.00083923339844,300.0007781982422,300.00014781951904,300.00077295303345,300.00067591667175,300.0003778934479,300.0001628398895,300.00073051452637,300.0005886554718
0.3_0.3,300.00027346611023,300.00097155570984,300.0007872581482,300.00047969818115,300.0006637573242,300.0009162425995,300.0000891685486,300.00082421302795,300.00033354759216,300.00050687789917,300.0009241104126,300.00039410591125,300.0007643699646,300.00048422813416,300.0001983642578
0.3_0.4,300.00055289268494,300.00011110305786,300.0001332759857,300.00009870529175,300.0000522136688,300.00004529953003,300.00093364715576,300.0007586479187,300.00000262260437,300.00018286705017,195.21199798583984,300.0004816055298,254.2087128162384,280.2911329269409,300.00092005729675
0.3_0.5,300.0007722377777,300.00035095214844,300.0003333091736,300.0000195503235,300.000853061676,273.4069061279297,300.0007779598236,300.0001630783081,300.0009722709656,300.0006649494171,87.08704471588135,145.33195805549622,135.07077527046204,152.64268279075623,245.89060974121094
0.3_0.6,215.99350690841675,300.0000238418579,300.00000405311584,300.00062322616577,300.0009813308716,6.064001083374023,160.89069485664368,155.4264566898346,218.3820457458496,300.00015091896057,5.600000381469727,26.74500060081482,46.243059396743774,73.0110604763031,61.60230588912964
0.3_0.7,12.896002531051636,63.82627296447754,72.96702861785889,110.59703922271729,93.78699851036072,5.966999292373657,20.932514429092407,57.02883172035217,91.1846215724945,56.49805235862732,5.870997428894043,25.102981567382812,45.34791445732117,55.795045375823975,37.795071840286255
0.3_0.8,15.432997703552246,54.787386894226074,66.7810287475586,102.39107322692871,62.828999757766724,10.112999439239502,47.96751594543457,54.48704528808594,88.4760434627533,48.15599870681763,7.347002029418945,30.99306058883667,43.73772311210632,67.85403108596802,33.96199989318848
0.3_0.9,15.59800124168396,37.75326991081238,65.98384428024292,37.35203003883362,61.74200105667114,14.278709173202515,32.65499973297119,54.11001420021057,89.22704267501831,44.52500128746033,10.126999139785767,27.743977069854736,21.749999523162842,65.93001437187195,35.92399978637695
0.4_0.1,300.0001814365387,300.00078105926514,300.0001177787781,300.0005578994751,300.0005214214325,300.0002443790436,300.00085282325745,300.00098967552185,300.0005717277527,300.0000009536743,300.0008535385132,300.00080490112305,300.0001473426819,300.0003628730774,300.000182390213
0.4_0.2,300.0006561279297,300.0008821487427,300.0007219314575,300.0007646083832,300.0001599788666,300.00021862983704,300.00081157684326,300.0009868144989,300.00077772140503,300.0005214214325,300.00066471099854,300.0001060962677,300.000773191452,300.00093054771423,300.00028920173645
0.4_0.3,300.0001630783081,300.0001394748688,300.00055837631226,300.0001473426819,300.000999212265,300.0001697540283,300.00079107284546,300.0000412464142,300.00014781951904,300.00016140937805,300.0006604194641,300.0005030632019,300.0008895397186,300.00098633766174,300.0001428127289
0.4_0.4,300.0000545978546,300.0008919239044,300.0007758140564,300.000125169754,300.0003926753998,300.0002384185791,300.00075364112854,300.0007860660553,300.0001440048218,300.0000011920929,200.75916600227356,300.00024247169495,283.06446647644043,282.4951057434082,300.0004394054413
0.4_0.5,300.0005211830139,300.0007390975952,300.0001473426819,300.00072598457336,300.00034523010254,264.8806667327881,300.0004053115845,300.00052785873413,300.0000524520874,300.0003910064697,78.40129041671753,128.31393313407898,122.02801394462585,146.1596486568451,222.8209991455078
0.4_0.6,206.29800009727478,300.00029826164246,300.00014305114746,300.0002362728119,300.00042247772217,85.80628967285156,143.285005569458,145.69574761390686,210.14080214500427,300.0007688999176,1.6360015869140625,20.431421279907227,43.35801410675049,66.02203035354614,34.120999813079834
0.4_0.7,20.206000328063965,50.73130941390991,65.35902261734009,102.87804532051086,82.56099843978882,4.246945381164551,29.30556583404541,49.54400014877319,81.39104700088501,41.06799912452698,4.985997438430786,35.444597482681274,40.862014293670654,65.34510540962219,26.557523012161255
0.4_0.8,9.35400104522705,46.656888484954834,61.618014335632324,92.25099897384644,48.76301693916321,5.753000259399414,35.02761459350586,51.41300058364868,83.80904340744019,36.40799903869629,4.740001201629639,19.89000105857849,39.41004300117493,62.83096528053284,24.505998134613037
0.4_0.9,11.466998815536499,28.410962343215942,61.42799997329712,93.07192730903625,45.18941593170166,10.423694610595703,19.955421686172485,49.4490442276001,81.91306853294373,36.887001037597656,8.087002038955688,13.092676639556885,40.55802607536316,61.207043170928955,24.14500117301941
0.5_0.1,300.0001630783081,300.0009808540344,300.00082874298096,300.0000035762787,300.00064396858215,300.0000534057617,300.00015139579773,300.0001313686371,300.00097131729126,300.00079560279846,300.00067114830017,300.0000870227814,300.00098943710327,300.0005142688751,300.00000047683716
0.5_0.2,300.00039052963257,300.0001347064972,300.000164270401,300.00012969970703,300.000625371933,300.0005247592926,300.0008852481842,300.00013875961304,300.00098943710327,300.0002808570862,300.0004849433899,300.000248670578,300.0006513595581,300.00080609321594,300.00016355514526
0.5_0.3,300.00000071525574,300.00034618377686,300.0008556842804,300.0008273124695,300.0006482601166,300.00099992752075,300.0004050731659,300.00071001052856,300.00093173980713,300.0007562637329,300.00001335144043,300.0003960132599,300.000141620636,300.00013160705566,300.00038981437683
0.5_0.4,3.204000234603882,300.00005078315735,300.0000886917114,300.00017261505127,300.00028467178345,300.0001640319824,300.0001654624939,300.0002210140228,300.00092601776123,300.000515460968,197.8056664466858,281.21201848983765,266.88652896881104,284.09913897514343,300.00001406669617
0.5_0.5,300.0007710456848,300.000123500824,300.0009329319,300.00050258636475,300.0003092288971,258.89038944244385,300.0003035068512,300.00000286102295,300.00035095214844,300.00028562545776,80.0578088760376,119.73526573181152,119.78871393203735,136.5520145893097,235.3677568435669
