maze,wall_1_1_0.1_0.1,wall_2_1_0.2_0.2,wall_2_1_0.4_0.4,wall_2_1_0.6_0.6,wall_4_1_0.1_0.1,columns_1_1_0.1_0.1,columns_2_1_0.2_0.2,columns_2_1_0.4_0.4,columns_2_1_0.6_0.6,columns_4_1_0.1_0.1,board_1_1_0.1_0.1,board_2_1_0.2_0.2,board_2_1_0.4_0.4,board_2_1_0.6_0.6,board_4_1_0.1_0.1
0.1_0.1,10415.0,5365.0,5197.0,10679.0,5393.0,11252.0,5302.0,5392.0,12076.0,7052.0,12422.0,6074.0,3824.0,11966.0,1830.0
0.1_0.2,5081.0,5567.0,6893.0,8179.0,5751.0,6964.0,6236.0,6646.0,4630.0,6826.0,7962.0,3630.0,4002.0,4626.0,4470.0
0.1_0.3,5349.0,4327.0,5603.0,5957.0,6499.0,7122.0,6094.0,6610.0,4528.0,7088.0,4530.0,6136.0,5006.0,4318.0,5426.0
0.1_0.4,5149.0,4953.0,6589.0,2297.0,5089.0,6078.0,5912.0,5542.0,3770.0,5862.0,2716.0,4556.0,3274.0,5144.0,3420.0
0.1_0.5,3647.0,5115.0,2987.0,3029.0,7627.0,6430.0,6284.0,4760.0,1700.0,4916.0,5542.0,2652.0,3958.0,454.0,2100.0
0.1_0.6,48653.0,48461.0,48929.0,49695.0,49419.0,46478.0,48250.0,48510.0,46667.0,46947.0,47243.0,49015.0,47375.0,47584.0,48870.0
0.1_0.7,49038.0,47869.0,47199.0,47394.0,49039.0,46909.0,47362.0,47215.0,46988.0,48516.0,48157.0,47993.0,48214.0,46342.0,48337.0
0.1_0.8,46854.0,46503.0,50033.0,47824.0,47769.0,46961.0,47388.0,47368.0,46244.0,47664.0,47845.0,47112.0,46835.0,48059.0,48372.0
0.1_0.9,46167.0,48293.0,46949.0,46951.0,46683.0,49514.0,47282.0,49874.0,46533.0,46818.0,48426.0,49223.0,47446.0,46769.0,49012.0
0.2_0.1,10709.0,11077.0,11877.0,13939.0,7651.0,18360.0,13142.0,15750.0,11524.0,8568.0,8244.0,9012.0,7618.0,9488.0,9052.0
0.2_0.2,16181.0,8357.0,14395.0,9615.0,5493.0,12218.0,9816.0,14166.0,8160.0,7452.0,12316.0,6886.0,5728.0,5970.0,4476.0
0.2_0.3,6481.0,11187.0,9859.0,4929.0,7491.0,8602.0,8880.0,6096.0,10244.0,7758.0,10874.0,6256.0,3940.0,6940.0,5764.0
0.2_0.4,6955.0,11001.0,6419.0,4171.0,6643.0,11044.0,10450.0,5290.0,6480.0,5744.0,1586.0,4058.0,4040.0,2686.0,2944.0
0.2_0.5,4539.0,3299.0,2499.0,923.0,3479.0,3672.0,1862.0,1824.0,964.0,5674.0,4738.0,5276.0,5590.0,2516.0,1732.0
0.2_0.6,49454.0,47338.0,48604.0,47497.0,46591.0,46218.0,48524.0,46764.0,48931.0,47096.0,47437.0,47428.0,46829.0,46664.0,51214.0
0.2_0.7,46684.0,47393.0,48559.0,49492.0,46753.0,46054.0,47164.0,47806.0,47454.0,47922.0,47145.0,48027.0,47459.0,46106.0,47944.0
0.2_0.8,46113.0,46836.0,49651.0,47737.0,47339.0,46501.0,47368.0,47508.0,47109.0,47607.0,49017.0,50102.0,47206.0,46639.0,50378.0
0.2_0.9,46267.0,46683.0,47595.0,47011.0,49799.0,45708.0,48306.0,47274.0,46509.0,47422.0,47993.0,48013.0,47732.0,47565.0,50614.0
0.3_0.1,12313.0,11369.0,14421.0,16099.0,7053.0,19910.0,15882.0,17112.0,17584.0,15088.0,7470.0,9810.0,11082.0,11178.0,7928.0
0.3_0.2,12053.0,12049.0,11205.0,11785.0,4249.0,17954.0,18386.0,16444.0,17440.0,10328.0,8278.0,5926.0,2902.0,11248.0,6778.0
0.3_0.3,9207.0,4041.0,10649.0,7647.0,7419.0,20704.0,7092.0,6632.0,13942.0,7496.0,6746.0,7916.0,7036.0,7320.0,4100.0
0.3_0.4,8843.0,5397.0,5031.0,6269.0,1397.0,11232.0,5410.0,11310.0,4520.0,4742.0,2932.0,3600.0,3372.0,6290.0,4064.0
0.3_0.5,2635.0,795.0,1081.0,855.0,3519.0,4504.0,5152.0,4024.0,4306.0,788.0,4148.0,5876.0,4602.0,210.0,5996.0
0.3_0.6,47858.0,47355.0,47473.0,46777.0,48402.0,47030.0,47538.0,47082.0,48350.0,47677.0,51566.0,47753.0,47819.0,47711.0,48463.0
0.3_0.7,47223.0,48846.0,49614.0,49290.0,47160.0,48437.0,47211.0,49867.0,50111.0,49009.0,46632.0,49869.0,47128.0,47704.0,50550.0
0.3_0.8,47081.0,47186.0,46919.0,47584.0,47813.0,46645.0,46946.0,46732.0,46999.0,50079.0,47440.0,47787.0,48111.0,46406.0,48242.0
0.3_0.9,47071.0,49046.0,46256.0,46816.0,47098.0,46057.0,45907.0,46877.0,48441.0,45381.0,49348.0,46818.0,50589.0,48634.0,49687.0
0.4_0.1,12939.0,15847.0,5171.0,19075.0,13601.0,15840.0,24962.0,13044.0,16840.0,19294.0,11746.0,9828.0,9156.0,14388.0,13224.0
0.4_0.2,14085.0,8681.0,7683.0,9705.0,10383.0,19164.0,21186.0,11060.0,12372.0,10908.0,10344.0,6462.0,7710.0,9546.0,10260.0
0.4_0.3,4953.0,7861.0,10883.0,3305.0,5903.0,11548.0,17004.0,17114.0,17682.0,7968.0,7548.0,5848.0,10252.0,10002.0,9622.0
0.4_0.4,11141.0,7019.0,6971.0,6437.0,11349.0,11698.0,10360.0,14068.0,11722.0,4034.0,4446.0,7286.0,8910.0,7026.0,3556.0
0.4_0.5,7149.0,7763.0,8693.0,19073.0,2925.0,6746.0,8628.0,5740.0,6708.0,10230.0,7874.0,8578.0,6276.0,7744.0,7432.0
0.4_0.6,46579.0,46624.0,47533.0,46918.0,47193.0,46384.0,46650.0,48277.0,46066.0,45752.0,47409.0,46967.0,47468.0,47856.0,47930.0
0.4_0.7,46279.0,46746.0,47596.0,47010.0,48580.0,48562.0,46515.0,49837.0,47082.0,47275.0,51961.0,47474.0,46959.0,46679.0,48134.0
0.4_0.8,45423.0,47678.0,47648.0,47307.0,46733.0,47394.0,47540.0,47218.0,47522.0,47025.0,47895.0,47538.0,48752.0,50276.0,48425.0
0.4_0.9,46380.0,46964.0,47483.0,47639.0,47360.0,47065.0,46858.0,46800.0,49101.0,48836.0,47869.0,48110.0,49363.0,48735.0,48766.0
0.5_0.1,15561.0,18669.0,15041.0,13871.0,14171.0,16664.0,16812.0,16238.0,11578.0,15064.0,11454.0,6774.0,14994.0,5144.0,13690.0
0.5_0.2,19471.0,23695.0,15169.0,16447.0,11653.0,17034.0,16562.0,13356.0,21494.0,13274.0,13630.0,9752.0,5462.0,8880.0,5996.0
0.5_0.3,11299.0,9081.0,9541.0,12685.0,6453.0,10430.0,12882.0,10888.0,14262.0,13700.0,9076.0,6238.0,5554.0,4136.0,5098.0
0.5_0.4,10083.0,9813.0,7207.0,11223.0,8409.0,9346.0,10330.0,9874.0,13512.0,7908.0,2760.0,4246.0,5764.0,2996.0,5212.0
0.5_0.5,25275.0,5055.0,7879.0,23661.0,15691.0,3620.0,4814.0,4016.0,27290.0,4952.0,9048.0,9244.0,9408.0,11614.0,6938.0
0.5_0.6,50444.0,46888.0,46806.0,45681.0,46859.0,46987.0,47277.0,47451.0,47480.0,47634.0,47278.0,47158.0,47672.0,47531.0,48972.0
0.5_0.7,46573.0,46772.0,46901.0,47375.0,46962.0,47196.0,46907.0,47480.0,48333.0,47457.0,47570.0,48510.0,47890.0,47212.0,50328.0
0.5_0.8,46932.0,46692.0,47513.0,47384.0,48791.0,46873.0,47730.0,47351.0,47732.0,47164.0,47634.0,47621.0,47707.0,47929.0,48306.0
0.5_0.9,47856.0,49569.0,47327.0,46950.0,46988.0,47268.0,47814.0,47894.0,48008.0,48636.0,47137.0,47406.0,47184.0,47095.0,47904.0
0.6_0.1,20689.0,18017.0,17697.0,13059.0,8085.0,22318.0,21010.0,22416.0,15342.0,13436.0,10742.0,8654.0,7846.0,9638.0,5398.0
0.6_0.2,15579.0,9285.0,10679.0,14649.0,13303.0,19430.0,20850.0,15086.0,15558.0,12592.0,12354.0,7406.0,11280.0,6964.0,8302.0
0.6_0.3,9805.0,13179.0,11359.0,6045.0,6373.0,17086.0,14158.0,11084.0,16564.0,5188.0,7290.0,6818.0,6546.0,6828.0,5452.0
0.6_0.4,9769.0,7823.0,12285.0,6285.0,5367.0,20718.0,9518.0,15138.0,6974.0,5208.0,4068.0,4338.0,5320.0,4392.0,3840.0
0.6_0.5,16801.0,2971.0,16769.0,6301.0,7901.0,18060.0,5088.0,15104.0,3798.0,3340.0,10664.0,9110.0,11120.0,12054.0,9026.0
0.6_0.6,48889.0,47270.0,47472.0,47507.0,48908.0,46939.0,46665.0,47100.0,46856.0,47391.0,48151.0,47898.0,46844.0,41468.0,48575.0
0.6_0.7,49387.0,46541.0,47580.0,47688.0,47538.0,46705.0,47468.0,49948.0,49117.0,47194.0,47677.0,47931.0,48535.0,44177.0,48385.0
0.6_0.8,46621.0,46754.0,47040.0,47248.0,49943.0,47295.0,48079.0,48497.0,48320.0,47223.0,47512.0,50160.0,47418.0,46305.0,48005.0
0.6_0.9,48808.0,49571.0,46897.0,48458.0,48998.0,48364.0,48671.0,48480.0,48785.0,47898.0,47534.0,49989.0,48225.0,47973.0,49003.0
0.7_0.1,14443.0,16199.0,7277.0,17079.0,12393.0,20450.0,18274.0,19180.0,18362.0,17164.0,7980.0,8678.0,10752.0,10616.0,8782.0
0.7_0.2,13049.0,10725.0,8651.0,14021.0,5473.0,16872.0,19640.0,13130.0,11620.0,17520.0,11374.0,7892.0,12830.0,6208.0,6840.0
0.7_0.3,7857.0,11641.0,8257.0,13291.0,7607.0,19850.0,17512.0,14252.0,13150.0,11176.0,10090.0,6106.0,11696.0,4822.0,3904.0
0.7_0.4,13207.0,9587.0,6277.0,11943.0,6823.0,14938.0,11298.0,16760.0,6126.0,6558.0,7352.0,9266.0,740.0,6544.0,2350.0
0.7_0.5,16165.0,23167.0,25195.0,6277.0,10823.0,28210.0,7398.0,25228.0,4328.0,5918.0,544.0,9736.0,332.0,12500.0,12344.0
0.7_0.6,47051.0,46746.0,46710.0,47493.0,48436.0,47168.0,47692.0,47666.0,47509.0,48813.0,47733.0,47598.0,47901.0,47421.0,48697.0
0.7_0.7,46776.0,46503.0,47022.0,47645.0,47153.0,48613.0,48098.0,48457.0,49021.0,47111.0,47211.0,50341.0,49211.0,46926.0,51473.0
0.7_0.8,46910.0,49606.0,46741.0,47299.0,47809.0,46572.0,48322.0,48233.0,48267.0,47737.0,47151.0,46867.0,50113.0,47546.0,48447.0
0.7_0.9,47205.0,47340.0,47702.0,46812.0,46815.0,46927.0,47833.0,49201.0,49080.0,47893.0,47325.0,48673.0,48812.0,48365.0,48671.0
0.8_0.1,13823.0,13867.0,14727.0,18665.0,13143.0,20540.0,25468.0,21600.0,15470.0,11590.0,15488.0,11342.0,10474.0,10810.0,12306.0
0.8_0.2,12419.0,11339.0,15109.0,8081.0,14615.0,12516.0,13360.0,22470.0,13766.0,14322.0,9514.0,7404.0,14750.0,7654.0,11932.0
0.8_0.3,12687.0,10741.0,11603.0,12759.0,7685.0,10596.0,16836.0,11444.0,12270.0,19578.0,8242.0,3144.0,7418.0,4746.0,5808.0
0.8_0.4,11959.0,8897.0,13689.0,14359.0,6881.0,10254.0,12084.0,8078.0,14188.0,12546.0,5994.0,8116.0,7388.0,1612.0,5714.0
0.8_0.5,3331.0,5677.0,5959.0,16149.0,4347.0,9166.0,2330.0,12128.0,10940.0,7944.0,12148.0,316.0,13270.0,954.0,732.0
0.8_0.6,48519.0,47863.0,49556.0,46521.0,47414.0,47292.0,47513.0,47101.0,47004.0,48020.0,49747.0,47306.0,47598.0,47660.0,50243.0
0.8_0.7,47189.0,46279.0,47647.0,46368.0,47161.0,47939.0,49181.0,48770.0,49012.0,47701.0,50291.0,46691.0,47019.0,46897.0,48254.0
0.8_0.8,47090.0,46939.0,47402.0,47160.0,45150.0,46578.0,49111.0,48224.0,48129.0,49524.0,48111.0,47199.0,46948.0,48016.0,48428.0
0.8_0.9,47356.0,46744.0,47994.0,46438.0,46956.0,47278.0,48460.0,48109.0,48736.0,47465.0,48063.0,47304.0,47325.0,46803.0,48408.0
0.9_0.1,13781.0,14013.0,14985.0,25313.0,19257.0,25010.0,10966.0,26084.0,15646.0,18366.0,16626.0,10924.0,10344.0,12360.0,9954.0
0.9_0.2,13401.0,14911.0,14201.0,12849.0,8379.0,16882.0,15514.0,18944.0,14442.0,13342.0,8262.0,10206.0,13886.0,11462.0,6090.0
0.9_0.3,14309.0,11757.0,8419.0,13023.0,8829.0,15234.0,14128.0,15024.0,11542.0,11832.0,4578.0,7440.0,6788.0,7112.0,10008.0
0.9_0.4,7607.0,9823.0,13661.0,12153.0,5235.0,16866.0,14472.0,12916.0,14098.0,8598.0,3568.0,10576.0,4036.0,5040.0,2086.0
0.9_0.5,29673.0,13651.0,5689.0,7031.0,14871.0,6064.0,19224.0,4332.0,11322.0,14188.0,11170.0,6060.0,12334.0,12050.0,13840.0
0.9_0.6,49826.0,49227.0,49272.0,46786.0,48189.0,47363.0,47346.0,47038.0,47607.0,47955.0,47208.0,47867.0,46914.0,47922.0,49071.0
0.9_0.7,47437.0,47618.0,47643.0,46506.0,46223.0,47857.0,47618.0,49321.0,49069.0,47193.0,50095.0,46931.0,48212.0,47600.0,48338.0
0.9_0.8,47019.0,49374.0,46980.0,48956.0,47271.0,47632.0,47740.0,49112.0,48786.0,48485.0,50378.0,47353.0,48407.0,47962.0,48265.0
0.9_0.9,46736.0,47423.0,46750.0,47350.0,47492.0,47785.0,48664.0,48520.0,48815.0,48538.0,47986.0,48247.0,48294.0,48386.0,50362.0
