maze,wall_1_2_0.1_0.1,wall_2_2_0.2_0.2,wall_2_2_0.4_0.4,wall_2_2_0.6_0.6,wall_4_2_0.1_0.1,columns_1_2_0.1_0.1,columns_2_2_0.2_0.2,columns_2_2_0.4_0.4,columns_2_2_0.6_0.6,columns_4_2_0.1_0.1,board_1_2_0.1_0.1,board_2_2_0.2_0.2,board_2_2_0.4_0.4,board_2_2_0.6_0.6,board_4_2_0.1_0.1
0.1_0.1,29.0,23.0,17.0,17.0,19.0,471.0,283.0,529.0,349.0,429.0,183.0,79.0,71.0,51.0,93.0
0.1_0.2,39.0,21.0,19.0,41.0,21.0,359.0,251.0,289.0,177.0,171.0,399.0,51.0,45.0,23.0,97.0
0.1_0.3,29.0,21.0,17.0,17.0,21.0,481.0,401.0,317.0,405.0,459.0,385.0,41.0,81.0,45.0,127.0
0.1_0.4,17.0,17.0,17.0,17.0,27.0,649.0,237.0,441.0,417.0,333.0,165.0,65.0,59.0,39.0,85.0
0.1_0.5,17.0,17.0,17.0,17.0,25.0,879.0,227.0,171.0,167.0,239.0,119.0,31.0,71.0,43.0,37.0
0.1_0.6,51421.0,17.0,17.0,17.0,131.0,559.0,48498.0,49837.0,127.0,49569.0,49.0,111.0,21.0,25.0,69.0
0.1_0.7,52689.0,17.0,17.0,17.0,17.0,337.0,50835.0,21.0,21.0,49442.0,91.0,39.0,59.0,33.0,67.0
0.1_0.8,17.0,17.0,17.0,17.0,17.0,261.0,50511.0,49099.0,21.0,48630.0,111.0,67.0,73.0,17.0,113.0
0.1_0.9,50030.0,17.0,17.0,17.0,50658.0,47901.0,49776.0,21.0,21.0,49983.0,115.0,81.0,77.0,19.0,65.0
0.2_0.1,21.0,23.0,33.0,17.0,17.0,733.0,299.0,165.0,355.0,175.0,577.0,83.0,75.0,37.0,139.0
0.2_0.2,17.0,17.0,17.0,17.0,23.0,417.0,255.0,279.0,179.0,465.0,339.0,47.0,63.0,31.0,27.0
0.2_0.3,17.0,19.0,17.0,17.0,33.0,447.0,351.0,303.0,349.0,389.0,487.0,57.0,27.0,19.0,83.0
0.2_0.4,17.0,17.0,17.0,17.0,21.0,393.0,191.0,215.0,243.0,239.0,229.0,41.0,73.0,39.0,109.0
0.2_0.5,19.0,19.0,17.0,17.0,23.0,811.0,389.0,209.0,169.0,279.0,51.0,73.0,69.0,31.0,25.0
0.2_0.6,49689.0,17.0,52434.0,17.0,21.0,399.0,50860.0,157.0,163.0,48890.0,75.0,31.0,87.0,39.0,39.0
0.2_0.7,17.0,50357.0,17.0,17.0,51632.0,391.0,50416.0,21.0,21.0,21.0,77.0,19.0,45.0,21.0,125.0
0.2_0.8,17.0,17.0,17.0,17.0,17.0,557.0,47269.0,21.0,21.0,21.0,23.0,73.0,65.0,51.0,39.0
0.2_0.9,39.0,17.0,17.0,19.0,47652.0,46795.0,48360.0,21.0,21.0,47637.0,69.0,69.0,17.0,31.0,33.0
0.3_0.1,19.0,25.0,25.0,17.0,21.0,351.0,299.0,175.0,333.0,179.0,241.0,97.0,81.0,47.0,85.0
0.3_0.2,21.0,19.0,29.0,17.0,19.0,623.0,279.0,287.0,303.0,397.0,571.0,57.0,45.0,15.0,87.0
0.3_0.3,31.0,17.0,21.0,17.0,25.0,435.0,333.0,283.0,431.0,399.0,159.0,55.0,37.0,23.0,131.0
0.3_0.4,23.0,21.0,17.0,17.0,25.0,329.0,277.0,211.0,133.0,333.0,277.0,65.0,55.0,43.0,141.0
0.3_0.5,21.0,17.0,17.0,17.0,17.0,665.0,335.0,203.0,197.0,271.0,297.0,97.0,41.0,21.0,87.0
0.3_0.6,17.0,50426.0,17.0,17.0,17.0,559.0,46924.0,151.0,151.0,49006.0,63.0,121.0,17.0,19.0,87.0
0.3_0.7,17.0,17.0,51471.0,17.0,49954.0,449.0,50308.0,21.0,21.0,21.0,107.0,47.0,50753.0,50414.0,121.0
0.3_0.8,52064.0,50367.0,17.0,17.0,17.0,417.0,47828.0,21.0,21.0,21.0,79.0,137.0,53.0,51388.0,165.0
0.3_0.9,17.0,17.0,17.0,17.0,17.0,48926.0,21.0,52549.0,21.0,49885.0,47.0,101.0,65.0,49342.0,125.0
0.4_0.1,19.0,27.0,17.0,35.0,19.0,887.0,323.0,169.0,301.0,147.0,153.0,51.0,27.0,41.0,99.0
0.4_0.2,17.0,17.0,21.0,17.0,25.0,431.0,359.0,275.0,421.0,169.0,537.0,87.0,43.0,31.0,79.0
0.4_0.3,17.0,23.0,17.0,17.0,19.0,581.0,319.0,463.0,309.0,407.0,497.0,79.0,41.0,29.0,51.0
0.4_0.4,21.0,17.0,17.0,17.0,27.0,755.0,213.0,215.0,217.0,247.0,217.0,67.0,63.0,33.0,119.0
0.4_0.5,17.0,17.0,17.0,17.0,21.0,381.0,303.0,191.0,197.0,265.0,49.0,53.0,67.0,53.0,123.0
