maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,5.0009989738464355,5.000999450683594,5.0009987354278564,5.00084376335144,3.256608486175537,5.00099778175354,5.000000238418579,5.0010011196136475,5.000906467437744,5.000989198684692,2.249000310897827,4.4180121421813965,3.1760003566741943,2.2940115928649902,2.5244126319885254
0.1_0.2,5.000999450683594,3.348012924194336,5.000012159347534,5.000001907348633,5.000000476837158,5.000001430511475,5.000997066497803,5.000755310058594,5.000108242034912,5.0000104904174805,5.000997543334961,2.4880006313323975,3.0740017890930176,2.794008255004883,5.000377655029297
0.1_0.3,5.000001907348633,5.000982046127319,5.000000715255737,5.000997543334961,4.250998258590698,3.6430001258850098,5.000001430511475,5.000025033950806,5.000983476638794,5.000002145767212,1.3489985466003418,2.0649986267089844,2.71699857711792,4.059011936187744,0.9740004539489746
0.1_0.4,5.000999689102173,4.523946762084961,5.000999450683594,5.000245094299316,4.464998245239258,5.000094890594482,5.000009298324585,5.000000476837158,5.000000715255737,5.000998020172119,5.0000011920928955,1.8839993476867676,2.44599986076355,3.6840009689331055,1.6315207481384277
0.1_0.5,5.000000715255737,5.000351190567017,5.000905990600586,4.364645004272461,3.639000415802002,5.000998020172119,5.000946044921875,5.000124454498291,5.000011205673218,4.626997947692871,2.9589996337890625,1.8699994087219238,3.3179993629455566,3.3809967041015625,2.1796669960021973
0.1_0.6,4.062001705169678,5.000800848007202,5.000219821929932,2.195054054260254,5.000011920928955,5.000990390777588,5.00007438659668,4.925336599349976,5.000985860824585,5.000999689102173,4.740997791290283,2.788999080657959,4.016999244689941,5.000010967254639,5.000940322875977
0.1_0.7,5.000765085220337,3.667997121810913,5.000002384185791,5.000023126602173,5.00077486038208,5.000999927520752,5.000989675521851,5.000000715255737,5.0009987354278564,5.000011205673218,2.4530017375946045,1.1109998226165771,5.000229835510254,5.000998258590698,5.000574827194214
0.1_0.8,5.000421762466431,5.000028133392334,5.000001430511475,5.000026702880859,5.000001668930054,5.000157356262207,5.000932693481445,5.000930309295654,5.000196933746338,5.000999212265015,2.24399995803833,1.6730103492736816,5.000999212265015,5.000011205673218,5.000331878662109
0.1_0.9,3.9530022144317627,5.000201225280762,5.000616073608398,5.00000262260437,5.000454664230347,5.000028133392334,5.0000433921813965,5.000997304916382,5.000002384185791,5.000011444091797,1.2150113582611084,5.000987529754639,5.000999212265015,5.00099778175354,5.000249624252319
0.2_0.1,5.000999689102173,5.000647306442261,5.0009989738464355,5.000074148178101,2.6799967288970947,5.0009989738464355,5.000048637390137,5.000010013580322,5.000999927520752,5.000886678695679,2.231001853942871,2.9730112552642822,5.00080680847168,3.5840115547180176,4.658801794052124
0.2_0.2,5.000010013580322,5.000026702880859,5.000012159347534,5.000012159347534,5.0000128746032715,5.000999689102173,5.000998497009277,5.000884056091309,5.000001668930054,5.000996828079224,5.000998497009277,2.675002098083496,2.011014938354492,3.580998420715332,2.304032564163208
0.2_0.3,5.000001668930054,5.000101327896118,5.000998258590698,5.00002908706665,5.000011920928955,5.000001668930054,5.001000165939331,5.00081467628479,5.000009059906006,5.000000238418579,1.0950000286102295,1.5360016822814941,4.436011552810669,1.24900221824646,2.9605965614318848
0.2_0.4,5.00099778175354,5.0005998611450195,5.000001668930054,2.718998432159424,3.55501127243042,5.000998020172119,5.000000238418579,5.000619173049927,5.0000104904174805,5.000000476837158,1.400000810623169,2.5719962120056152,3.7080118656158447,2.6619975566864014,3.1354711055755615
0.2_0.5,5.000001430511475,2.1534385681152344,5.000997066497803,5.000001668930054,4.171997547149658,5.001000642776489,5.000028371810913,5.000000476837158,4.713885545730591,5.000000953674316,2.138000011444092,3.914011240005493,3.3777647018432617,2.796001672744751,3.3021528720855713
0.2_0.6,3.6700000762939453,5.000915288925171,5.0003087520599365,5.000001907348633,5.000001668930054,5.000999927520752,5.000169992446899,5.000167369842529,5.000000238418579,5.0000011920928955,1.5220003128051758,1.0569994449615479,5.0002360343933105,5.000009775161743,5.00087308883667
0.2_0.7,5.0009987354278564,5.000998497009277,5.000715970993042,5.000143766403198,5.000998020172119,5.000999927520752,5.00099515914917,5.000386476516724,5.000383377075195,5.00099778175354,4.240011930465698,5.000011920928955,5.000851392745972,5.000000953674316,5.000290155410767
0.2_0.8,5.0000011920928955,5.000079154968262,5.000341892242432,5.0009989738464355,5.000999450683594,5.00100040435791,5.000000715255737,5.000031232833862,5.000999927520752,5.000998497009277,1.3859972953796387,5.000002145767212,5.000190734863281,5.0009989738464355,5.000089168548584
0.2_0.9,5.0009965896606445,5.00026273727417,5.000991582870483,5.00001072883606,5.000999927520752,5.000001668930054,5.000900983810425,5.000000715255737,5.000027894973755,5.000001907348633,3.781998634338379,5.000009298324585,5.000251531600952,5.000011444091797,5.000166177749634
0.3_0.1,5.001000881195068,5.000040054321289,5.000998258590698,5.000000953674316,5.000998258590698,5.000999450683594,5.000050067901611,5.000999689102173,5.000000476837158,5.000998497009277,5.000999927520752,2.7090096473693848,2.36248779296875,3.033001661300659,1.5938773155212402
0.3_0.2,1.945000171661377,5.000000715255737,5.000997543334961,5.000134229660034,5.0010011196136475,5.000002384185791,5.000011205673218,5.000034332275391,5.0009989738464355,5.000999689102173,5.000996828079224,4.266007661819458,2.161733865737915,1.849999189376831,2.7130367755889893
0.3_0.3,5.000997066497803,3.947998523712158,4.067554950714111,5.000741720199585,5.000001430511475,5.0000011920928955,5.000829458236694,5.000152349472046,5.0009987354278564,5.001000642776489,5.000000476837158,2.6149885654449463,3.425990104675293,4.456010341644287,1.2563056945800781
0.3_0.4,5.000998497009277,5.000707149505615,5.000638484954834,4.450997591018677,3.936998128890991,5.000000238418579,5.000137567520142,5.000844478607178,5.000011682510376,4.754010200500488,2.6579978466033936,2.1580114364624023,4.382617235183716,3.11899995803833,2.0390007495880127
0.3_0.5,5.000999689102173,3.878038167953491,4.549998998641968,5.000012397766113,4.547011375427246,5.001000881195068,5.000016212463379,4.343452453613281,4.140000581741333,5.000999212265015,2.8340020179748535,1.5610008239746094,1.9130003452301025,3.181009531021118,5.000665187835693
0.3_0.6,5.000999212265015,5.000013113021851,5.0000011920928955,5.000051975250244,5.000987529754639,5.000996828079224,5.000512599945068,5.000776767730713,5.001001358032227,5.000001907348633,3.6740000247955322,2.3750014305114746,5.00031852722168,5.0009987354278564,5.000828266143799
0.3_0.7,5.001000165939331,5.00009298324585,5.000999450683594,5.000998258590698,5.000999689102173,5.000000476837158,5.000028133392334,5.00089693069458,5.000998497009277,5.000012397766113,2.781999349594116,5.000999450683594,5.000997066497803,5.0000104904174805,5.000457763671875
0.3_0.8,3.0179996490478516,5.000942230224609,5.000011444091797,5.000993967056274,5.000012159347534,5.0009987354278564,5.000305652618408,5.001001358032227,5.000004768371582,5.000999212265015,1.4039974212646484,5.000049114227295,5.000000715255737,5.000002145767212,5.000961780548096
0.3_0.9,5.000998497009277,5.000180721282959,5.0009987354278564,5.000010251998901,5.000012159347534,5.000001668930054,5.000223398208618,5.000501394271851,5.0009989738464355,5.000011682510376,2.4040021896362305,5.000000476837158,5.000999927520752,5.000009059906006,5.000657320022583
0.4_0.1,5.000001907348633,5.000136613845825,5.000999689102173,5.0000855922698975,5.000001907348633,5.000000715255737,5.000183820724487,5.000556230545044,5.000999212265015,5.000999689102173,2.8529975414276123,2.8989980220794678,3.5199992656707764,3.9549999237060547,1.4976751804351807
0.4_0.2,5.000999689102173,5.000972747802734,5.0001935958862305,5.000355958938599,4.496010065078735,5.000301122665405,5.000999689102173,5.000798225402832,5.000001907348633,5.000001430511475,2.922001838684082,2.0210120677948,4.6428797245025635,1.4680113792419434,0.974118709564209
0.4_0.3,5.000010251998901,3.555000066757202,5.000011920928955,5.001002311706543,5.000989198684692,5.000039100646973,5.000012159347534,5.0001184940338135,5.000802040100098,5.000009775161743,5.00099778175354,3.31801176071167,2.968862533569336,3.319990396499634,1.770376205444336
0.4_0.4,2.791001319885254,5.000010013580322,3.42099928855896,5.00001072883606,4.66899847984314,5.000000953674316,5.00002384185791,5.000011682510376,5.000025272369385,5.000002145767212,1.6340007781982422,3.678011178970337,2.9391283988952637,3.355010509490967,2.6945433616638184
0.4_0.5,4.2069995403289795,3.283846139907837,3.203000545501709,3.0619986057281494,4.970000505447388,5.000999212265015,3.3959312438964844,4.951999664306641,4.061010122299194,5.000002384185791,3.9699995517730713,4.03701114654541,1.606956958770752,3.1099979877471924,5.0002522468566895
0.4_0.6,2.670997381210327,5.0004212856292725,5.0009989738464355,5.000999927520752,5.000010013580322,5.0009989738464355,5.000000953674316,5.000001907348633,5.0009989738464355,5.000000238418579,1.0570001602172852,5.000011444091797,5.00011420249939,5.000011682510376,5.000253915786743
0.4_0.7,5.0009989738464355,5.000999212265015,5.000007390975952,5.00060248374939,5.000999689102173,5.000001668930054,5.0000011920928955,5.000010251998901,5.000054836273193,5.000010013580322,1.5729997158050537,5.000009298324585,5.00020432472229,5.000001668930054,5.000474214553833
0.4_0.8,5.000000476837158,5.000604867935181,5.000947952270508,5.000513076782227,5.000000476837158,5.000999689102173,5.000000715255737,5.000011920928955,5.000011682510376,5.0009989738464355,1.787001371383667,5.000010967254639,5.00001072883606,5.000998497009277,5.000948190689087
0.4_0.9,5.000002145767212,5.000141620635986,5.000001430511475,5.000001430511475,5.000008821487427,5.001000165939331,5.001000165939331,5.00006103515625,5.000999212265015,5.0009989738464355,1.037001371383667,5.000011920928955,5.000932693481445,5.000001430511475,5.00046706199646
0.5_0.1,5.001000165939331,5.00002908706665,5.000000953674316,5.000547409057617,5.000999689102173,5.000999927520752,5.00097918510437,5.0009706020355225,5.000423431396484,5.000011444091797,5.000997066497803,3.4420108795166016,2.153000831604004,2.507012128829956,3.21108078956604
0.5_0.2,3.0740017890930176,5.000000476837158,5.0009989738464355,5.000707387924194,5.000999927520752,5.000996828079224,5.00030255317688,5.000029802322388,5.000999927520752,5.000999927520752,3.7450003623962402,2.4830007553100586,3.5900018215179443,1.573991060256958,3.1795217990875244
0.5_0.3,5.000998258590698,5.000861883163452,5.000996351242065,5.000997543334961,2.4870119094848633,5.0000011920928955,5.000999927520752,5.0006959438323975,5.00058650970459,5.00099778175354,5.00099778175354,2.1719987392425537,3.199136257171631,2.8889997005462646,1.8572983741760254
0.5_0.4,5.000059366226196,5.000015497207642,4.977999687194824,5.000000953674316,5.000011205673218,5.0010011196136475,5.000002145767212,5.00067138671875,5.000415563583374,5.000011444091797,3.232999086380005,3.623007297515869,2.3599696159362793,3.6420085430145264,1.3614368438720703
0.5_0.5,3.085001230239868,4.711118221282959,4.9820075035095215,5.000943422317505,5.000012397766113,5.000999450683594,3.6399996280670166,3.122001886367798,5.000999212265015,5.000088930130005,2.180999517440796,4.236989736557007,3.934000253677368,4.268989562988281,5.0005176067352295
0.5_0.6,5.000999212265015,5.000987768173218,5.000892639160156,5.000999450683594,5.000000715255737,5.000011920928955,5.000009536743164,5.000317811965942,5.00000262260437,5.000001668930054,4.08799934387207,5.000999927520752,5.000999927520752,5.000998020172119,5.00003981590271
0.5_0.7,2.5149991512298584,5.000202655792236,5.000024318695068,5.000000476837158,5.000999212265015,5.000002145767212,5.00098991394043,5.0005269050598145,5.00012993812561,5.000009298324585,3.0230016708374023,5.000010967254639,5.000999689102173,5.000011205673218,5.000522613525391
0.5_0.8,5.0009989738464355,5.000720024108887,5.000027894973755,5.000999689102173,5.000998020172119,5.000999927520752,5.000999927520752,5.000000238418579,5.000762224197388,5.0000104904174805,5.000011444091797,5.000010013580322,5.00100040435791,5.000001430511475,5.000510215759277
0.5_0.9,5.000001668930054,5.00005030632019,5.000055313110352,5.0000011920928955,5.000011205673218,5.000997304916382,5.000999927520752,5.000001668930054,5.000999212265015,5.000010967254639,5.0000011920928955,5.000996828079224,5.000771522521973,5.000998020172119,5.000971078872681
0.6_0.1,5.000999689102173,5.000012159347534,5.000007390975952,5.00100040435791,5.0009987354278564,3.254000663757324,5.000828266143799,5.0002617835998535,5.000001668930054,5.0009894371032715,2.726999521255493,1.9890124797821045,3.207104206085205,2.8270130157470703,3.167663335800171
0.6_0.2,5.000997543334961,5.0001609325408936,5.000060319900513,5.000999927520752,5.000011920928955,5.000998020172119,5.0000011920928955,5.000000238418579,5.000909090042114,5.000010013580322,5.000999212265015,4.644999742507935,4.587998151779175,3.1350083351135254,1.8980817794799805
0.6_0.3,5.000003337860107,5.000884056091309,4.909907579421997,2.373999834060669,4.048998594284058,5.000002861022949,5.000210523605347,5.000999689102173,5.000135898590088,5.000011920928955,5.0009987354278564,2.975011110305786,3.8928632736206055,4.04900050163269,1.953385591506958
0.6_0.4,2.802999496459961,2.569011688232422,5.00026535987854,5.000998258590698,3.020012855529785,5.000998258590698,5.000988245010376,5.0007483959198,5.000012159347534,4.549999475479126,2.1260125637054443,4.054997682571411,2.9500365257263184,5.000998020172119,2.4339118003845215
0.6_0.5,5.000000238418579,1.6090025901794434,4.324012041091919,4.397012233734131,5.0009989738464355,5.000000953674316,5.000998020172119,5.000117301940918,3.851012945175171,5.000999689102173,3.17199969291687,3.737999200820923,1.605039358139038,4.942011117935181,5.000691652297974
0.6_0.6,5.001000881195068,5.0001654624938965,5.000819206237793,5.000011205673218,5.000999450683594,5.001000642776489,5.0009987354278564,5.000811338424683,5.000999927520752,5.000002145767212,4.644000053405762,5.0000011920928955,5.000982046127319,5.000008583068848,5.000688791275024
