maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,25.0,41.0,41.0,21.0,19.0,21.0,23.0,23.0,21.0,21.0,103.0,67.0,69.0,49.0,101.0
0.1_0.2,55.0,39.0,39.0,23.0,21.0,31.0,27.0,33.0,21.0,21.0,127.0,37.0,75.0,93.0,85.0
0.1_0.3,39.0,55.0,35.0,19.0,23.0,21.0,31.0,25.0,21.0,33.0,119.0,119.0,69.0,37.0,65.0
0.1_0.4,47.0,39.0,25.0,31.0,25.0,27.0,29.0,21.0,21.0,21.0,95.0,103.0,35.0,47.0,123.0
0.1_0.5,27.0,29.0,27.0,17.0,17.0,21.0,45.0,21.0,21.0,21.0,81.0,25.0,59.0,35.0,87.0
0.1_0.6,57.0,35.0,29.0,21.0,23.0,99.0,27.0,31.0,21.0,21.0,153.0,23.0,37.0,35.0,87.0
0.1_0.7,65.0,19.0,17.0,17.0,23.0,21.0,33.0,27.0,21.0,21.0,97.0,35.0,67.0,33.0,67.0
0.1_0.8,37.0,51.0,21.0,19.0,25.0,21.0,37.0,23.0,21.0,21.0,53.0,49.0,39.0,39.0,81.0
0.1_0.9,37.0,19.0,19.0,17.0,17.0,39.0,41.0,27.0,21.0,21.0,115.0,71.0,49.0,25.0,55.0
0.2_0.1,27.0,37.0,33.0,21.0,17.0,21.0,27.0,23.0,21.0,21.0,101.0,63.0,65.0,77.0,87.0
0.2_0.2,29.0,19.0,17.0,21.0,17.0,23.0,23.0,21.0,21.0,21.0,57.0,63.0,55.0,29.0,41.0
0.2_0.3,53.0,51.0,25.0,17.0,17.0,27.0,25.0,27.0,21.0,21.0,79.0,33.0,37.0,117.0,57.0
0.2_0.4,49.0,29.0,37.0,19.0,25.0,23.0,27.0,29.0,21.0,21.0,37.0,61.0,47.0,57.0,137.0
0.2_0.5,17.0,39.0,27.0,17.0,21.0,29.0,37.0,23.0,21.0,21.0,39.0,89.0,55.0,33.0,103.0
0.2_0.6,61.0,37.0,45.0,27.0,27.0,59.0,21.0,23.0,21.0,21.0,107.0,97.0,83.0,27.0,35.0
0.2_0.7,27.0,41.0,17.0,17.0,29.0,37.0,21.0,21.0,21.0,21.0,45.0,25.0,83.0,43.0,57.0
0.2_0.8,19.0,21.0,21.0,17.0,17.0,27.0,33.0,21.0,21.0,49856.0,47.0,39.0,73.0,15.0,87.0
0.2_0.9,19.0,25.0,17.0,51922.0,17.0,45.0,21.0,21.0,21.0,23.0,35.0,35.0,49.0,39.0,59.0
0.3_0.1,35.0,47.0,31.0,19.0,17.0,23.0,25.0,27.0,21.0,21.0,167.0,51.0,61.0,19.0,75.0
0.3_0.2,81.0,53.0,19.0,25.0,17.0,147.0,23.0,21.0,21.0,23.0,53.0,135.0,81.0,35.0,99.0
0.3_0.3,81.0,19.0,21.0,19.0,21.0,31.0,27.0,43.0,21.0,21.0,71.0,129.0,45.0,39.0,61.0
0.3_0.4,25.0,41.0,19.0,17.0,25.0,113.0,27.0,21.0,21.0,23.0,37.0,69.0,41.0,45.0,89.0
0.3_0.5,73.0,35.0,21.0,17.0,17.0,21.0,29.0,21.0,21.0,21.0,49.0,105.0,33.0,33.0,79.0
0.3_0.6,101.0,19.0,17.0,17.0,19.0,45.0,35.0,21.0,21.0,21.0,49.0,81.0,77.0,52683.0,119.0
0.3_0.7,51.0,47.0,17.0,17.0,17.0,41.0,31.0,35.0,21.0,21.0,179.0,29.0,43.0,15.0,73.0
0.3_0.8,43.0,39.0,17.0,17.0,25.0,21.0,23.0,23.0,21.0,21.0,57.0,107.0,41.0,52325.0,55.0
0.3_0.9,33.0,17.0,51688.0,17.0,50618.0,21.0,25.0,21.0,21.0,23.0,135.0,81.0,23.0,15.0,133.0
0.4_0.1,17.0,23.0,25.0,17.0,29.0,21.0,35.0,21.0,21.0,21.0,63.0,47.0,95.0,39.0,111.0
0.4_0.2,37.0,27.0,41.0,17.0,17.0,37.0,25.0,23.0,21.0,21.0,39.0,27.0,41.0,41.0,91.0
0.4_0.3,25.0,27.0,23.0,19.0,17.0,21.0,21.0,41.0,21.0,25.0,73.0,99.0,77.0,33.0,97.0
0.4_0.4,23.0,79.0,19.0,17.0,17.0,43.0,33.0,23.0,21.0,23.0,55.0,59.0,113.0,21.0,77.0
0.4_0.5,29.0,59.0,27.0,19.0,17.0,45.0,21.0,21.0,21.0,21.0,31.0,53.0,51.0,41.0,43.0
0.4_0.6,71.0,21.0,23.0,17.0,17.0,49.0,21.0,25.0,21.0,29.0,117.0,115.0,93.0,153.0,151.0
0.4_0.7,23.0,19.0,17.0,17.0,17.0,23.0,25.0,21.0,21.0,25.0,123.0,31.0,71.0,27.0,107.0
0.4_0.8,87.0,31.0,49025.0,17.0,17.0,53.0,25.0,21.0,21.0,29.0,97.0,21.0,85.0,50853.0,139.0
0.4_0.9,43.0,43.0,21.0,17.0,53.0,29.0,27.0,21.0,21.0,48920.0,153.0,61.0,53.0,15.0,131.0
0.5_0.1,17.0,31.0,27.0,17.0,19.0,23.0,25.0,21.0,21.0,21.0,123.0,53.0,25.0,63.0,75.0
0.5_0.2,45.0,17.0,23.0,17.0,17.0,23.0,25.0,29.0,21.0,25.0,109.0,145.0,69.0,17.0,81.0
0.5_0.3,25.0,23.0,65.0,17.0,17.0,29.0,23.0,21.0,21.0,25.0,21.0,97.0,63.0,23.0,105.0
0.5_0.4,17.0,21.0,17.0,17.0,19.0,51.0,27.0,31.0,21.0,21.0,71.0,111.0,91.0,15.0,123.0
0.5_0.5,91.0,55.0,19.0,17.0,17.0,73.0,21.0,29.0,21.0,25.0,35.0,33.0,39.0,33.0,193.0
0.5_0.6,95.0,35.0,17.0,51055.0,27.0,35.0,21.0,23.0,21.0,21.0,43.0,45.0,63.0,67.0,149.0
0.5_0.7,23.0,29.0,31.0,17.0,37.0,45.0,53.0,21.0,21.0,31.0,35.0,81.0,61.0,15.0,57.0
0.5_0.8,67.0,47.0,35.0,17.0,51467.0,31.0,45.0,21.0,21.0,21.0,157.0,99.0,113.0,15.0,125.0
0.5_0.9,23.0,17.0,25.0,17.0,49595.0,45.0,27.0,21.0,21.0,21.0,121.0,55.0,107.0,27.0,179.0
0.6_0.1,93.0,19.0,21.0,17.0,17.0,21.0,35.0,23.0,21.0,21.0,79.0,119.0,57.0,19.0,161.0
