maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,14405.0,16095.0,16487.0,19795.0,8355.0,28704.0,21984.0,19120.0,21956.0,17110.0,3440.0,5210.0,3768.0,4852.0,2578.0
0.1_0.2,7291.0,13493.0,14417.0,12111.0,3817.0,17160.0,12578.0,19108.0,20762.0,15224.0,11670.0,4658.0,5406.0,6574.0,5758.0
0.1_0.3,12381.0,14129.0,11003.0,4509.0,5739.0,18000.0,20410.0,17292.0,8496.0,14468.0,4944.0,6628.0,5168.0,6556.0,4290.0
0.1_0.4,17531.0,5373.0,8815.0,17413.0,7825.0,20370.0,19632.0,20058.0,17708.0,13420.0,13796.0,7754.0,3788.0,4000.0,5148.0
0.1_0.5,20071.0,7381.0,13525.0,13253.0,13109.0,20616.0,17228.0,13372.0,10926.0,13786.0,10672.0,4576.0,8138.0,6220.0,10184.0
0.1_0.6,18169.0,47268.0,47539.0,47938.0,47780.0,13056.0,27774.0,47880.0,47544.0,48008.0,8102.0,9864.0,8408.0,47361.0,47456.0
0.1_0.7,7845.0,14445.0,47446.0,47602.0,47633.0,11210.0,29990.0,47529.0,47522.0,48034.0,3574.0,7354.0,7168.0,47415.0,47550.0
0.1_0.8,12937.0,10853.0,47675.0,45120.0,47626.0,25232.0,12746.0,47592.0,47628.0,47931.0,9480.0,4138.0,47690.0,46802.0,47470.0
0.1_0.9,15121.0,47387.0,47544.0,46945.0,47552.0,22588.0,47366.0,47582.0,47782.0,47689.0,4896.0,47125.0,47423.0,47719.0,47588.0
0.2_0.1,15231.0,19505.0,11169.0,12089.0,15309.0,22438.0,23766.0,19974.0,15122.0,16904.0,9906.0,7590.0,7646.0,6894.0,2648.0
0.2_0.2,16749.0,9661.0,12557.0,16983.0,15095.0,30942.0,13172.0,16576.0,23016.0,14600.0,2648.0,7318.0,4344.0,5432.0,4332.0
0.2_0.3,13631.0,9609.0,16065.0,13945.0,8185.0,17996.0,16244.0,19410.0,20688.0,20132.0,7248.0,5312.0,7944.0,5058.0,4270.0
