maze,wall_1_1_0.1_0.1,wall_2_1_0.2_0.2,wall_2_1_0.4_0.4,wall_2_1_0.6_0.6,wall_4_1_0.1_0.1,columns_1_1_0.1_0.1,columns_2_1_0.2_0.2,columns_2_1_0.4_0.4,columns_2_1_0.6_0.6,columns_4_1_0.1_0.1,board_1_1_0.1_0.1,board_2_1_0.2_0.2,board_2_1_0.4_0.4,board_2_1_0.6_0.6,board_4_1_0.1_0.1
0.1_0.1,643.3551137447357,251.58000111579895,991.2209942340851,1010.6699993610382,426.84568071365356,637.2519986629486,1439.2811465263367,2656.546002626419,3310.496524333954,1385.0738217830658,189.86262822151184,393.69501304626465,282.53700971603394,402.0689904689789,134.37600564956665
0.1_0.2,393.7399842739105,190.04501152038574,156.25698804855347,181.10399889945984,389.68573808670044,401.54599261283875,440.7659978866577,447.1630117893219,1305.784244298935,454.32600116729736,408.8459987640381,354.29099774360657,324.42699432373047,748.9100015163422,328.8100075721741
0.1_0.3,357.39500069618225,128.19351267814636,206.52199625968933,1058.5581409931183,238.1269907951355,490.79662823677063,389.0439989566803,414.431982755661,714.0989987850189,493.6099989414215,242.08999752998352,377.14800000190735,131.68399858474731,796.0389995574951,314.57500410079956
0.1_0.4,219.24300169944763,238.10999751091003,187.90699863433838,822.2619824409485,224.86502361297607,455.94699788093567,452.3739981651306,433.7809991836548,558.3329849243164,457.879998922348,191.78100037574768,365.06299662590027,352.51999855041504,193.47699785232544,368.34399938583374
0.1_0.5,199.29699301719666,195.52700304985046,238.89899897575378,308.5229980945587,115.48500204086304,273.92499899864197,244.24299883842468,278.438996553421,349.3789975643158,285.4159996509552,263.5989990234375,240.6399974822998,265.5209982395172,586.0619940757751,239.91099739074707
0.1_0.6,15189233.400451899,4874894.8417310715,4883582.704678535,4828376.443762779,9664755.129916668,9998051.182944298,14983845.26920271,9773580.404938221,9572780.852074146,9901265.254178762,9804493.458742142,4832789.334991217,4930308.345908165,4904521.915024757,9764290.495059729
0.1_0.7,9690846.30542612,4821478.517475128,4866398.123719692,4843101.000972986,4954509.863228321,15222534.413645029,14545437.293829203,14650748.545256853,9561649.460120678,14769331.114716768,4933232.141011,4967988.780753851,14514431.073337317,14790541.266850233,5021457.932183981
0.1_0.8,10220942.507031202,9753591.551323175,4853807.193338394,4836892.269548893,9503248.261032581,14200330.10953641,14817436.028370619,9643567.561895132,9811378.34094143,14537933.398032188,10295581.052695751,4941350.904190302,4932476.944228649,5203398.839073181,15460925.55397749
0.1_0.9,9521559.827946186,4806270.845869541,9874459.989961624,232.74500131607056,14262529.1584661,9554954.994847536,15758654.802052498,9636868.143431187,1399.0970039367676,15081833.485335588,9650179.113871813,4874653.0300683975,4814701.948848486,768.7559943199158,5082266.492872477
0.2_0.1,224.5909972190857,366.65499782562256,241.00999927520752,1370.222993850708,270.53286600112915,1092.7390098571777,1828.7114536762238,1271.6249914169312,732.7480273246765,1421.8676164150238,407.777996301651,357.46999740600586,302.60102105140686,601.1379947662354,357.8320074081421
0.2_0.2,175.10299348831177,127.7709972858429,114.88599920272827,1007.7830049991608,155.06501269340515,508.64799642562866,377.0335202217102,501.87400102615356,1477.0110049247742,433.6469974517822,303.5730004310608,340.33099937438965,305.29201102256775,905.7469983100891,159.14400148391724
0.2_0.3,182.26201128959656,190.7500865459442,195.21500062942505,720.7323687076569,236.28945994377136,488.26999711990356,466.5956130027771,950.3709981441498,744.5690295696259,486.4090006351471,354.8999984264374,262.18099665641785,351.9600007534027,848.3829805850983,926.1479949951172
0.2_0.4,229.76892518997192,159.33699822425842,140.4559998512268,165.79900288581848,130.53710651397705,438.0319962501526,411.53600788116455,546.4259951114655,386.9779918193817,420.2759988307953,274.9550006389618,266.0789997577667,167.1679971218109,431.08899879455566,239.9029974937439
0.2_0.5,177.91499853134155,187.25107765197754,249.42799496650696,249.75799918174744,333.04188227653503,261.96699500083923,214.36799883842468,252.58799815177917,304.522997379303,235.73300004005432,314.98499846458435,213.53100037574768,281.2959966659546,188.60700011253357,203.64200925827026
0.2_0.6,9452547.51591134,10389260.774405956,4891694.574715853,4846010.194072247,9360946.958132029,13963130.97298193,14875441.740618944,9716564.61512947,9821188.973002672,14863130.370915413,10456962.860286951,4893112.089025259,4953655.303992987,203.05000162124634,5032446.453014135
0.2_0.7,10386541.309037209,4817369.754493475,4857888.752804756,4838387.856274605,9696367.022197008,14461234.56628251,14743936.080794096,9755859.71746397,9680847.052088976,14676534.225446701,4987195.700017691,14779022.390360832,14827650.190793514,9893929.910421371,5010446.361736298
0.2_0.8,14795626.536209345,9633744.233862877,9879669.131661415,9879846.24298215,13622047.289745808,9681349.53499031,15049732.19132948,9675866.416410923,9616509.363890886,15116127.57230568,15409515.815910816,15081822.25367713,9671364.434217215,4948212.67576623,4979584.170045853
0.2_0.9,4812368.242968082,4799871.142980814,5260083.465928793,813.4199986457825,9809942.62712431,14236128.608804226,14664438.984770775,9656977.676452398,268.5490026473999,15469829.32264638,14758215.77218175,4791657.885023117,9682839.13369894,728.971999168396,15042320.64211464
0.3_0.1,197.57500004768372,714.1628396511078,676.5129799842834,249.05200147628784,293.9723243713379,2504.3959550857544,1852.381999015808,3347.8250041007996,1887.8009781837463,1865.2849881649017,409.3450095653534,373.8399980068207,311.20999574661255,235.0520098209381,344.5370056629181
0.3_0.2,177.92493748664856,175.7080042362213,145.11300015449524,690.6524093151093,378.5383746623993,505.8039984703064,416.01499676704407,382.9690001010895,1170.2150177955627,495.6559875011444,360.99199748039246,255.72099804878235,188.39099979400635,171.12500166893005,285.9329948425293
0.3_0.3,175.61500191688538,181.40799832344055,123.3189971446991,267.3210277557373,659.7408158779144,413.7700011730194,444.3179979324341,525.1139988899231,1383.5150015354156,481.59499883651733,434.6189959049225,315.5169987678528,331.5589962005615,260.9949879646301,387.28199791908264
0.3_0.4,149.3230104446411,128.8949978351593,151.75300002098083,717.7700183391571,200.62704205513,421.32899737358093,414.83801102638245,358.45899963378906,708.6339976787567,402.5110032558441,384.63300943374634,199.15399885177612,198.01200008392334,263.51099705696106,153.21147537231445
