maze,wall_1_bonus_0.1_0.1,wall_2_bonus_0.2_0.2,wall_2_bonus_0.4_0.4,wall_2_bonus_0.6_0.6,wall_4_bonus_0.1_0.1,columns_1_bonus_0.1_0.1,columns_2_bonus_0.2_0.2,columns_2_bonus_0.4_0.4,columns_2_bonus_0.6_0.6,columns_4_bonus_0.1_0.1,board_1_bonus_0.1_0.1,board_2_bonus_0.2_0.2,board_2_bonus_0.4_0.4,board_2_bonus_0.6_0.6,board_4_bonus_0.1_0.1
0.1_0.1,803.7050020694733,433.69300150871277,751.7929973602295,932.327011346817,894.7201979160309,1624.9147963523865,795.9250380992889,1750.8231675624847,2721.869408607483,1177.6909935474396,906.2709999084473,528.0269839763641,543.3719942569733,728.6940121650696,675.0430023670197
0.1_0.2,773.1760001182556,735.9999413490295,490.341997385025,561.3419275283813,570.5960099697113,1261.3499956130981,1221.987985610962,1023.9240713119507,2352.4497134685516,1016.3180108070374,436.38555932044983,645.9480016231537,713.1629962921143,603.1660017967224,378.7359972000122
0.1_0.3,886.7819976806641,642.075014591217,444.0390028953552,556.6969966888428,605.862996339798,1183.0819985866547,1196.4159996509552,1058.9989643096924,2003.056988954544,983.7742199897766,670.5389971733093,590.8720011711121,599.5370020866394,1444.2992734909058,475.6990120410919
0.1_0.4,995.0209953784943,584.2699992656708,371.7279989719391,502.70199966430664,513.4290001392365,1520.9380025863647,950.2270429134369,1025.1372666358948,982.736001253128,821.940000295639,610.2870035171509,441.4669988155365,544.4470119476318,927.6779866218567,661.3479995727539
0.1_0.5,990.8564963340759,831.8519978523254,471.7110130786896,554.2635927200317,703.5329959392548,1186.9500000476837,784.4629983901978,1052.5980598926544,1690.4460031986237,797.4824249744415,400.1519968509674,503.7250018119812,493.55599641799927,862.6369683742523,409.4520003795624
0.1_0.6,860.3669974803925,405.77298617362976,461.30899930000305,9838778.624815464,986.8000001907349,1304.8229999542236,915.7530400753021,876.8250541687012,9726392.69308424,1093.0569970607758,764.3399984836578,406.9000012874603,400.969997882843,4880233.369110823,696.9700014591217
0.1_0.7,954.7969980239868,824.4170005321503,9769266.529534578,9860737.109426498,9893751.301007032,1406.8529996871948,889.9199995994568,1491.8196897506714,9710516.930215597,9779648.692208767,638.4057803153992,531.2999987602234,757.3759231567383,921.3489973545074,573.4420127868652
0.1_0.8,886.7090346813202,563.4510004520416,4943518.13536191,9868716.51071906,9940650.089219093,782.761997461319,683.9249999523163,937.7664322853088,1482.3770008087158,9781548.600083113,368.28999948501587,559.0750014781952,921.39599609375,1043.4859988689423,450.83999943733215
0.1_0.9,712.5940041542053,1293.71199965477,4985790.026418924,1230.0960056781769,9965041.859261274,838.9710023403168,1314.3119983673096,1240.1720259189606,731.0100259780884,9780548.340038776,568.4150021076202,788.7320003509521,1175.4480001926422,1049.9259979724884,274.86200046539307
0.2_0.1,1230.9939954280853,626.6289978027344,996.9680111408234,603.623996257782,666.3629746437073,1567.7290182113647,1520.7758967876434,1130.1459987163544,1106.7808392047882,1142.6181902885437,948.4100015163422,765.3090150356293,507.25399827957153,420.89200258255005,485.58698630332947
0.2_0.2,654.6380009651184,567.4410030841827,679.6266038417816,708.9280006885529,682.5371642112732,1348.8090019226074,1108.0309987068176,1127.0970001220703,1155.5013139247894,896.9249966144562,408.35500025749207,656.6720020771027,679.597003698349,1268.2349817752838,853.0000126361847
0.2_0.3,1284.5804884433746,1097.0720012187958,480.41137051582336,1327.6041505336761,572.7260675430298,1454.5879955291748,1161.486998796463,1079.3259994983673,2518.2320609092712,878.5199990272522,842.2880010604858,412.9899973869324,435.4559979438782,600.4390037059784,436.8959972858429
