maze,a_star.npy,dijkstra.npy,bfs.npy
10x10_wall,23,23,23
10x10_wall_change_1,23,23,23
10x10_wall_change_2,27,27,27
10x10_wall_change_start,17,17,17
10x10_columns,25,25,25
10x10_columns_change_1,37,37,37
10x10_columns_change_2,33,33,33
10x10_columns_change_start,21,21,21
10x10_board,15,15,15
10x10_board_change_1,21,21,21
10x10_board_change_2,15,15,15
10x10_board_change_start,15,15,15
50x50_wall,117,117,117
50x50_wall_change_1,117,117,117
50x50_wall_change_2,145,145,145
50x50_wall_change_start,84,84,84
50x50_columns,102,102,102
50x50_columns_change_1,196,196,196
50x50_columns_change_2,152,152,152
50x50_columns_change_start,104,104,104
50x50_board,82,82,82
50x50_board_change_1,100,100,100
50x50_board_change_2,82,82,82
50x50_board_change_start,80,80,80
100x100_wall,244,244,244
100x100_wall_change_1,244,244,244
100x100_wall_change_2,302,302,302
100x100_wall_change_start,173,173,173
100x100_columns,204,204,204
100x100_columns_change_1,404,404,404
100x100_columns_change_2,320,320,320
100x100_columns_change_start,202,202,202
100x100_board,159,159,159
100x100_board_change_1,205,205,205
100x100_board_change_2,159,159,159
100x100_board_change_start,171,171,171
