maze,a_star.npy,dijkstra.npy,bfs.npy
10x10_wall,64,90,92
10x10_wall_change_1,61,83,87
10x10_wall_change_2,77,82,84
10x10_wall_change_start,64,90,92
10x10_columns,61,80,82
10x10_columns_change_1,62,74,76
10x10_columns_change_2,67,77,77
10x10_columns_change_start,62,80,82
10x10_board,45,70,82
10x10_board_change_1,56,75,80
10x10_board_change_2,42,67,79
10x10_board_change_start,39,71,77
50x50_wall,1447,2366,2381
50x50_wall_change_1,1287,2319,2334
50x50_wall_change_2,1924,2322,2335
50x50_wall_change_start,561,2366,2381
50x50_columns,1308,2261,2296
50x50_columns_change_1,1772,2250,2270
50x50_columns_change_2,1692,2352,2363
50x50_columns_change_start,1579,2261,2296
50x50_board,1072,1904,1981
50x50_board_change_1,1232,2208,2232
50x50_board_change_2,1072,1885,1962
50x50_board_change_start,1004,1964,1994
100x100_wall,5865,9655,9676
100x100_wall_change_1,5975,9280,9320
100x100_wall_change_2,7606,9441,9468
100x100_wall_change_start,4997,9655,9676
100x100_columns,5031,9548,9601
100x100_columns_change_1,7391,9476,9516
100x100_columns_change_2,7095,9744,9749
100x100_columns_change_start,6543,9548,9601
100x100_board,4250,8210,8347
100x100_board_change_1,5018,9348,9389
100x100_board_change_2,3942,8173,8345
100x100_board_change_start,4972,9160,9202
